type	name	value	zone	address	bytes	access	other
Factory	PORTB_PCR14	---	Memory	0x4004a038	4	readWrite	strong	
Factory	PORTB_PCR15	---	Memory	0x4004a03c	4	readWrite	strong	
Factory	PORTB_PCR16	---	Memory	0x4004a040	4	readWrite	strong	
Factory	PORTB_PCR17	---	Memory	0x4004a044	4	readWrite	strong	
Factory	PORTB_PCR18	---	Memory	0x4004a048	4	readWrite	strong	
Factory	PORTB_PCR19	---	Memory	0x4004a04c	4	readWrite	strong	
Factory	PORTB_PCR20	---	Memory	0x4004a050	4	readWrite	strong	
Factory	PORTB_PCR21	---	Memory	0x4004a054	4	readWrite	strong	
Factory	PORTB_PCR22	---	Memory	0x4004a058	4	readWrite	strong	
Factory	PORTB_PCR23	---	Memory	0x4004a05c	4	readWrite	strong	
Factory	PORTB_PCR24	---	Memory	0x4004a060	4	readWrite	strong	
Factory	PORTB_PCR25	---	Memory	0x4004a064	4	readWrite	strong	
Factory	PORTB_PCR26	---	Memory	0x4004a068	4	readWrite	strong	
Factory	PORTB_PCR27	---	Memory	0x4004a06c	4	readWrite	strong	
Factory	PORTB_PCR28	---	Memory	0x4004a070	4	readWrite	strong	
Factory	PORTB_PCR29	---	Memory	0x4004a074	4	readWrite	strong	
Factory	PORTB_PCR30	---	Memory	0x4004a078	4	readWrite	strong	
Factory	PORTB_PCR31	---	Memory	0x4004a07c	4	readWrite	strong	
Factory	PORTB_GPCLR	---	Memory	0x4004a080	4	writeOnly	strong	
Factory	PORTB_GPCHR	---	Memory	0x4004a084	4	writeOnly	strong	
Factory	PORTB_ISFR	---	Memory	0x4004a0a0	4	readWrite	strong	
Factory	PORTC_PCR0	---	Memory	0x4004b000	4	readWrite	strong	
Factory	PORTC_PCR1	---	Memory	0x4004b004	4	readWrite	strong	
Factory	PORTC_PCR2	---	Memory	0x4004b008	4	readWrite	strong	
Factory	PORTC_PCR3	---	Memory	0x4004b00c	4	readWrite	strong	
Factory	PORTC_PCR4	---	Memory	0x4004b010	4	readWrite	strong	
Factory	PORTC_PCR5	---	Memory	0x4004b014	4	readWrite	strong	
Factory	PORTC_PCR6	---	Memory	0x4004b018	4	readWrite	strong	
